"stop_id","suspect_race_description","demeanor_of_person_stopped"
"2019-69",BLACK,COOPERATIVE
"2019-70",ASIAN / PACIFIC ISLANDER,COOPERATIVE/NERVOUS
"2019-71",WHITE,NERVOUS
"2019-72",WHITE,AGITATED
"2019-73",BLACK,CALM/ COOPERATIVE
"2019-74",BLACK,"SWEATING, AGITATED."
"2019-75",WHITE HISPANIC,NERVOUS
"2019-76",BLACK,AGGRESSIVE
"2019-77",WHITE HISPANIC,APPARENTLY NORMAL
"2019-78",WHITE,COOPERATIVE/UNDERSTANDING
"2019-79",BLACK,COOPERATIVE
"2019-80",BLACK,UNDERSTANDING AND COOPERATIVE
"2019-81",BLACK,UNDERSTANDING
"2019-82",BLACK,SCARED
"2019-83",BLACK,SCARED
"2019-84",WHITE HISPANIC,CALM
"2019-85",WHITE HISPANIC,CALM
"2019-86",BLACK,CALM
"2019-87",BLACK HISPANIC,CALM
"2019-88",BLACK,COOPERATIVE
"2019-89",BLACK,"IRATE, YELLING AND UNCOOPERATIVE"
"2019-90",BLACK,CALM
"2019-91",BLACK,COOPERATIVE
"2019-92",BLACK,UNCOOPERATIVE
"2019-93",BLACK,UNCOOPERATIVE
"2019-94",BLACK,CALM
"2019-95",WHITE HISPANIC,COOPERATIVE
"2019-96",BLACK,COOPERATIVE
"2019-97",WHITE,CALM
"2019-98",WHITE HISPANIC,CALM
"2019-99",BLACK,TRUTHFULL & UNABLE TO CARE FOR HERSELF
"2019-100",WHITE HISPANIC,CALM
"2019-101",BLACK,CALM/ SWEATING/ OUT OF BREATHE
"2019-102",WHITE HISPANIC,CALM
"2019-103",BLACK HISPANIC,CALM
"2019-104",BLACK,CALM
"2019-106",BLACK,CALM
"2019-107",WHITE,NORMAL
"2019-108",BLACK,CALM
"2019-109",WHITE,INTOXICATED
"2019-110",BLACK,CALM
"2019-111",WHITE HISPANIC,NERVOUS
"2019-112",BLACK,FRUSTRATED
"2019-113",BLACK,UPSET
"2019-114",BLACK,UPSET
"2019-115",BLACK,UPSET
"2019-116",BLACK,UPSET/ ANNOYED
"2019-117",WHITE HISPANIC,POSSIBLY INTOXICATED
"2019-118",BLACK,NERVOUS
"2019-119",BLACK,NERVOUS
"2019-120",BLACK,NORMAL
"2019-121",BLACK,CALM
"2019-122",WHITE,EDP
"2019-123",BLACK,ANGRY
"2019-124",ASIAN / PACIFIC ISLANDER,UNDERSTANDING
"2019-125",BLACK,COOPERATIVE
"2019-126",BLACK,CALM
"2019-127",BLACK,CALM
"2019-128",BLACK,"SHOCKED, RESISTANT"
"2019-129",BLACK HISPANIC,CALM
"2019-130",BLACK,CALM
"2019-131",WHITE,NERVOUS
"2019-132",BLACK,NERVOUS
"2019-133",WHITE,SLURRED SPEECH
"2019-134",BLACK,ANGRY
"2019-135",WHITE,COMPLIANT AND NORMAL
"2019-136",BLACK,NERVOUS
"2019-137",BLACK,UPSET
"2019-138",BLACK,CONFUSED/COMPLIANT
"2019-139",WHITE,CALM
"2019-140",WHITE,HAPPY
"2019-141",WHITE HISPANIC,CALM
"2019-142",WHITE HISPANIC,AGITATED BUT CALM
"2019-143",WHITE HISPANIC,NORMAL BEHAVIOR
"2019-144",WHITE HISPANIC,NORMAL BEHAVIOR
"2019-145",ASIAN / PACIFIC ISLANDER,"HE STATES ""I WASN'T FIGHTING."""
"2019-146",WHITE,CALM
"2019-147",BLACK,CALM
"2019-148",BLACK,CALM
"2019-149",WHITE HISPANIC,FRUSTRATED
"2019-150",WHITE HISPANIC,FRUSTRATED
"2019-151",WHITE,"CALM, UNDERSTANDING"
"2019-152",WHITE HISPANIC,NERVOUS
"2019-153",ASIAN / PACIFIC ISLANDER,UPSET
"2019-154",WHITE,ANNOYED
"2019-155",WHITE HISPANIC,INTOXICATED
"2019-156",BLACK,UPSET/ANGERY/LOUD
"2019-158",BLACK,NERVOUS
"2019-159",BLACK,NERVOUS
"2019-160",BLACK,NERVOUS
"2019-161",WHITE,CALM
"2019-162",BLACK,BELLIGERENT
"2019-163",WHITE,BELLIGERENT
"2019-164",WHITE,UPSET
"2019-165",BLACK,ARGUEMENTATIVE
"2019-166",BLACK,COMPLIANT AND COOPERATIVE
"2019-167",WHITE HISPANIC,SLIGHTLY NERVOUS
"2019-168",BLACK,AGITATED
"2019-169",WHITE,NORMAL
"2019-170",BLACK,ANNOYED
"2019-171",WHITE HISPANIC,CALM
"2019-172",BLACK HISPANIC,NERVOUS
"2019-173",WHITE HISPANIC,COMPLIANT
"2019-174",BLACK,AGGRAVATED
"2019-175",BLACK,AGGRESSIVE/VIOLENT
"2019-176",BLACK,CALM
"2019-177",BLACK,CALM
"2019-178",BLACK,CALM
"2019-179",BLACK,CALM
"2019-180",BLACK,UPSET
"2019-181",WHITE,RELAXED
"2019-182",BLACK,NERVOUS AND AGITATED
"2019-183",WHITE HISPANIC,CALM
"2019-184",WHITE,CALM
"2019-185",BLACK,CALM
"2019-186",WHITE,NERVOUS
"2019-187",BLACK,"UPSET, COMPLIANT."
"2019-188",ASIAN / PACIFIC ISLANDER,CALM AND COMPLIANT
"2019-189",ASIAN / PACIFIC ISLANDER,CALM
"2019-190",BLACK,CALM
"2019-191",BLACK HISPANIC,CALM
"2019-192",BLACK HISPANIC,CALM
"2019-193",BLACK,ATTEMPTED TO FLEE
"2019-194",WHITE,CALM
"2019-195",WHITE,CALM
"2019-196",BLACK,COOPERATIVE AND CALM
"2019-198",BLACK,NERVOUS
"2019-199",BLACK,CALM
"2019-200",BLACK,QUIET
"2019-201",BLACK HISPANIC,"SCARED, NERVOUS."
"2019-202",BLACK HISPANIC,COMPLIANT
"2019-203",BLACK,CALM
"2019-204",BLACK HISPANIC,NERVOUS
"2019-205",WHITE HISPANIC,CALM/ COOPERATIVE
"2019-206",WHITE HISPANIC,APPARENTLY NORMAL
"2019-207",BLACK,NERVOUS
"2019-208",BLACK,CALM
"2019-209",WHITE HISPANIC,NERVIOUS AND CONTANTLY LOOKING OVER HIS SHOULDER
"2019-210",BLACK,CALM
"2019-211",BLACK HISPANIC,NERVOUS
"2019-212",BLACK,EXICTED
"2019-282",WHITE HISPANIC,COOPERATIVE
"2019-213",BLACK,CALM
"2019-214",BLACK HISPANIC,COMPLY WITH COMMAND
"2019-215",BLACK,ANNOYED
"2019-216",BLACK HISPANIC,NERVOUS
"2019-217",BLACK,UNDERSTANDING
"2019-218",ASIAN / PACIFIC ISLANDER,IN SHOCK
"2019-219",BLACK,CALM
"2019-220",WHITE,NERVOUS
"2019-221",WHITE,FRANTIC
"2019-222",WHITE,NERVOUS
"2019-223",ASIAN / PACIFIC ISLANDER,CALM
"2019-224",BLACK,CALM
"2019-225",BLACK,NERVOUS
"2019-226",BLACK,NERVOUS
"2019-227",BLACK HISPANIC,CALM
"2019-228",BLACK,NERVOUS
"2019-229",ASIAN / PACIFIC ISLANDER,CALM
"2019-230",BLACK,CALM
"2019-231",BLACK,CALM
"2019-232",BLACK,CALM
"2019-233",BLACK,CALM
"2019-234",WHITE HISPANIC,CALM/COOPERATIVE
"2019-235",WHITE,CALM
"2019-238",BLACK HISPANIC,CALM
"2019-239",BLACK,SHOCKED
"2019-240",BLACK,CALM
"2019-241",BLACK,NERVOUS
"2019-242",BLACK,CALM
"2019-243",WHITE,NERVOUS AND SHAKEY
"2019-244",WHITE HISPANIC,UPSET
"2019-245",WHITE,COMPLIANT
"2019-246",WHITE,CALM
"2019-247",BLACK,CALM
"2019-248",WHITE,CALM
"2019-249",BLACK,CALM
"2019-250",WHITE,CALM
"2019-251",BLACK,CALM
"2019-252",WHITE HISPANIC,CALM.
"2019-253",BLACK,COMBATIVE
"2019-254",BLACK,NERVOUS
"2019-255",WHITE,COOPERTIVE
"2019-256",BLACK,CALM
"2019-257",BLACK,CALM
"2019-258",BLACK,CALM
"2019-260",BLACK,CALM
"2019-261",BLACK,ANTAGONSITIC
"2019-262",BLACK,ANXIOUS TO GET ON THE NEXT NORTHBOUND TRAIN
"2019-263",BLACK,CALM AND RELAXED
"2019-264",BLACK,NERVOUS
"2019-265",BLACK,CALM
"2019-266",BLACK,RELATIVELY CALM
"2019-267",BLACK,RELATIVELY NORMAL
"2019-268",WHITE,CALM
"2019-269",BLACK,"CALM, QUESTIONING"
"2019-270",BLACK,HOSTILE
"2019-271",WHITE,CALM AND COOPERATIVE
"2019-272",BLACK,NERVOUS / CONFUSED
"2019-273",BLACK,ANXIOUS/NERVOUS
"2019-274",WHITE HISPANIC,ANXIOUS/NERVOUS
"2019-275",BLACK,ANGRY
"2019-276",WHITE HISPANIC,UPSET
"2019-277",WHITE,"CALM, UNKEPT"
"2019-278",WHITE,"CALM, COOPERATIVE"
"2019-279",WHITE,NERVOUS AND ANGRY
"2019-280",BLACK,ANGRY
"2019-281",BLACK HISPANIC,SHAKIN
"2019-283",BLACK,COOPERATIVE
"2019-284",BLACK,IRRITATED
"2019-285",WHITE,CALM
"2019-286",BLACK,"CALM, BUT ANNOYED"
"2019-287",WHITE HISPANIC,"TALKATIVE, COMPLIANT"
"2019-288",BLACK,ANGRY
"2019-289",BLACK HISPANIC,COMPLIED
"2019-294",BLACK,INTOXICATED/ UNPLEASANT
"2019-295",WHITE,CALM
"2019-296",BLACK,ACTING CONFUSED
"2019-297",BLACK,COOPERATIVE AND ATTENTIVE TO VERBAL INSTRUCTIONS
"2019-298",BLACK,CALM
"2019-299",BLACK,SCARED
"2019-300",BLACK,NERVOUS
"2019-301",BLACK,CALM
"2019-302",BLACK,UNCOOPERATIVE
"2019-303",BLACK,UNCOOPERATIVE
"2019-304",BLACK,UNCOOPERATIVE
"2019-305",BLACK,CALM
"2019-306",BLACK,CALM
"2019-307",BLACK,NERVOUS
"2019-308",BLACK,CALM
"2019-309",BLACK HISPANIC,CALM
"2019-310",BLACK,CALM
"2019-311",WHITE,HAPPY
"2019-312",BLACK HISPANIC,"ANNOYED, BOTHERED"
"2019-313",BLACK,COMBATIVE
"2019-314",BLACK,UNDERSTANDING
"2019-315",BLACK,CALM
"2019-316",WHITE,"IRATE, ANGRY"
"2019-317",BLACK,CALM
"2019-318",BLACK,CONFUSED
"2019-319",WHITE,CONFUSED
"2019-320",BLACK,CONFUSED
"2019-321",BLACK,CONFUSED
"2019-322",WHITE,CALM
"2019-323",BLACK,COOPERATIVE/CALM
"2019-324",BLACK,NERVOUS
"2019-325",BLACK,NERVOUS
"2019-326",BLACK,NORMAL
"2019-327",WHITE HISPANIC,"UPSET , MAD"
"2019-328",BLACK,NERVOUS/BREATHING HEAVY
"2019-329",BLACK,COOPERTIVE BUT IRRITATED
"2019-330",BLACK HISPANIC,CALM
"2019-331",BLACK HISPANIC,EXCITED
"2019-332",BLACK,COOPERATIVE
"2019-333",BLACK,UNDERSTANDING
"2019-335",WHITE HISPANIC,CALM
"2019-336",BLACK,NORMAL
"2019-337",WHITE HISPANIC,CALM
"2019-338",WHITE,N/A
"2019-339",BLACK,N/A
"2019-340",BLACK,N/A
"2019-341",WHITE,CONFUSED
"2019-342",WHITE,CALM
"2019-343",WHITE,N/A
"2019-344",BLACK,N/A
"2019-345",WHITE,N/A
"2019-346",WHITE,N/A
"2019-347",WHITE,N/A
"2019-348",WHITE HISPANIC,N/A
"2019-349",BLACK,NERVOUS BUT COMPLIANT
"2019-350","",N/A
"2019-351",WHITE,NERVOUS
"2019-352",BLACK,CALM
"2019-353",BLACK,COOPERATIVE
"2019-354",BLACK,COOPERATIVE
"2019-355",WHITE,CALM
"2019-356",WHITE,SURPRISED
"2019-357",BLACK,LIED ABOUT HIS AGE
"2019-358",BLACK,ANGRY THEN CALM
"2019-359",BLACK,CALM
"2019-360",BLACK,NERVOUS
"2019-361",BLACK,NORMAL
"2019-362",BLACK,ANNOYED
"2019-363",BLACK,ANGRY
"2019-364",WHITE HISPANIC,ANGRY
"2019-365",WHITE,SUPRSIED INITIALLY BUT VERY COMPLIANT
"2019-366",BLACK,IRATE BUT COMPLIANT
"2019-367",BLACK HISPANIC,CALM
"2019-368",BLACK,NERVOUS BUT COMPLIANT
"2019-369",BLACK,NERVOUS BUT COMPLIANT
"2019-370",WHITE HISPANIC,CALM
"2019-371",WHITE HISPANIC,CALM
"2019-372",BLACK,IRATE
"2019-373",BLACK,COOPERATIVE
"2019-374",BLACK HISPANIC,CALM
"2019-375",BLACK,ACTING LIKE HE DIDN'T KNOW WHAT WAS HAPPENING
"2019-376",BLACK,COOPERTIVE AFTER FLEEING
"2019-377",BLACK,NORMAL
"2019-402",BLACK,CALM
"2019-378",WHITE HISPANIC,COOPERTIVE AFTER FLEEING
"2019-379",BLACK,NORMAL
"2019-380",BLACK,COOPERTIVE AFTER FLEEING
"2019-381",BLACK,CALM
"2019-382",BLACK,CALM
"2019-383",BLACK,CALM
"2019-384",WHITE HISPANIC,CALM
"2019-385",BLACK,CALM
"2019-386",BLACK,CONFUSED
"2019-387",WHITE,NERVOUS BUT COMPLIANT
"2019-388",WHITE,NERVOUS BUT COMPLIANT
"2019-389",WHITE,NERVOUS BUT COMPLIANT
"2019-390",WHITE,INCOMMUNICATIVE
"2019-391",WHITE HISPANIC,NORMAL
"2019-392",WHITE,NERVOUS
"2019-393",WHITE,NERVOUS
"2019-394",WHITE HISPANIC,CALM AND RESPECTFUL
"2019-395",BLACK,CALM
"2019-396",WHITE HISPANIC,"CALM, COOPERATIVE"
"2019-397",BLACK,APPARENTLY NORMAL
"2019-398",WHITE HISPANIC,CALM
"2019-399",BLACK,CALM
"2019-400",BLACK,APPARENTLY NORMAL
"2019-401",BLACK,APPARENTLY NORMAL
"2019-403",BLACK,NERVOUS
"2019-404",BLACK,ANNOYED
"2019-405",WHITE,COMPLIANT
"2019-406",WHITE HISPANIC,NERVOUS
"2019-407",BLACK,NERVOUS
"2019-408",BLACK,APPERANTLY NORMAL
"2019-409",BLACK HISPANIC,APPERANTLY NORMAL
"2019-410",WHITE HISPANIC,ANGRY
"2019-411",ASIAN / PACIFIC ISLANDER,CALM
"2019-412",BLACK,NERVOUS
"2019-413",WHITE HISPANIC,NERVOUS
"2019-414",BLACK HISPANIC,NERVOUS
"2019-415",WHITE HISPANIC,NERVOUS
"2019-416",WHITE HISPANIC,NERVOUS
"2019-417",BLACK,CALM
"2019-418",BLACK,CALM
"2019-419",BLACK,CALM
"2019-420",BLACK,APPARENTLY CALM
"2019-421",BLACK,SEEMED CALM
"2019-422",BLACK,SEEMED CALM
"2019-423",BLACK,APPARENTLY CALM
"2019-424",WHITE,NORMAL
"2019-425",BLACK,AGGRESIVE AND ARGUMENTATIVE
"2019-426",BLACK,AGGRESIVE AND IRITATED
"2019-1858",BLACK,COMPLIANT
"2019-427",BLACK,AGGRESSIVE AND ARGUMENTATIVE
"2019-428",BLACK,AGGRESSIVE AND ARGUMENTATIVE
"2019-429",BLACK,CALM
"2019-430",WHITE HISPANIC,CALM
"2019-431",WHITE HISPANIC,NERVOUS
"2019-432",WHITE HISPANIC,NONE
"2019-433",BLACK,NONE
"2019-434",BLACK,CALM
"2019-435",BLACK,AGITATED
"2019-436",WHITE HISPANIC,ANNOYED
"2019-437",WHITE HISPANIC,UPSET
"2019-438",BLACK,UNDERSTANDING
"2019-439",WHITE HISPANIC,NERVOUS
"2019-441",BLACK,PISSED OFF
"2019-442",BLACK,CALM
"2019-443",WHITE HISPANIC,"UPSET, NERVOUS"
"2019-444",BLACK HISPANIC,CALM
"2019-445",BLACK,APPARENTLY NORMAL
"2019-446",BLACK,NERVOUS
"2019-447",BLACK,CALM
"2019-448",BLACK,CALM
"2019-449",BLACK,COMPLIANT
"2019-450",BLACK,CALM
"2019-451",BLACK,CALM
"2019-452",BLACK,NARMAL
"2019-453",BLACK,NERVOUS AND SWEATING
"2019-454",BLACK,CALM AND COOPERATIVE
"2019-455",WHITE HISPANIC,"COOPERATIVE, THANK FULL"
"2019-456",WHITE,ANGRY
"2019-457",BLACK,NORMAL
"2019-458",BLACK,NERVOUS
"2019-459",WHITE,NERVOUS
"2019-460",WHITE HISPANIC,NORMAL
"2019-461",BLACK,CALM
"2019-462",WHITE,COOPERATIVE AND RESPECTFUL
"2019-463",WHITE HISPANIC,"DEFENSIVE, FRUSTRATED"
"2019-464",WHITE HISPANIC,"DEFENSIVE, FRUSTRATED"
"2019-465",BLACK,"DEFENSIVE, FRUSTRATED"
"2019-466",BLACK,"DEFENSIVE, FRUSTRATED"
"2019-467",WHITE HISPANIC,NERVOUS
"2019-468",BLACK,NERVOUS
"2019-469",WHITE,CALM AND COOPERATING
"2019-470",ASIAN / PACIFIC ISLANDER,NERVOUS
"2019-471",WHITE HISPANIC,NERVOUS
"2019-472",ASIAN / PACIFIC ISLANDER,UPSET
"2019-473",BLACK HISPANIC,NERVOUS
"2019-3088",BLACK,CALM
"2019-474",BLACK,POLITE
"2019-475",WHITE HISPANIC,NERVOUS
"2019-476",BLACK,APPARENTLY NORMAL
"2019-478",BLACK,ANGRY & BELLIGERENT
"2019-480",BLACK,CALM
"2019-481",WHITE HISPANIC,CALM
"2019-482",BLACK,CALM AND COOPERATIVE
"2019-483",WHITE HISPANIC,CALM
"2019-484",BLACK,CALM
"2019-485",WHITE HISPANIC,ANGRY
"2019-486",BLACK,CALM
"2019-487",BLACK,CALM
"2019-488",WHITE HISPANIC,"CALM , COLLECTED, APPRECIATIVE"
"2019-489",BLACK,"CALM , APOLOGETIC"
"2019-490",BLACK HISPANIC,CALM/ INTOXICATED FOR ALCOHOL
"2019-491",BLACK HISPANIC,CALM
"2019-492",BLACK,CALM
"2019-493",BLACK,HOSTILE
"2019-494",BLACK,"COMPLIANT,"
"2019-495",BLACK HISPANIC,APPARENTLY NORMAL
"2019-496",BLACK HISPANIC,CALM
"2019-497",WHITE,CALM
"2019-498",BLACK,CALM
"2019-499",WHITE HISPANIC,N/A
"2019-500",WHITE HISPANIC,N/A
"2019-501",BLACK,UNDERSTANDING
"2019-502",WHITE,ANGRY
"2019-503",WHITE HISPANIC,"CALM, COMPLIANT"
"2019-504",WHITE,CALM
"2019-505",WHITE HISPANIC,NERVOUS
"2019-506",BLACK,CALM
"2019-507",BLACK,UPSET
"2019-508",BLACK,UPSET/MAD
"2019-509",BLACK,CALM
"2019-510",BLACK HISPANIC,"NERVOUS, VERY IMPATIENT"
"2019-511",BLACK,"AGITATED, ANGRY"
"2019-512",WHITE HISPANIC,APPRECIATIVE
"2019-513",BLACK,NERVOUS
"2019-514",BLACK HISPANIC,AGGITATED
"2019-515",BLACK,TALKATIVE AND ANGRY
"2019-516",BLACK,TALKATIVE ANGRY
"2019-517",BLACK,ANNOYED
"2019-518",WHITE HISPANIC,UPSET
"2019-519",WHITE HISPANIC,NORMAL
"2019-520",BLACK HISPANIC,NORMAL
"2019-544",WHITE,NERVOUS
"2019-521",WHITE HISPANIC,RELAXED
"2019-522",BLACK HISPANIC,NERVOUS
"2019-523",BLACK,NERVOUS
"2019-524",BLACK,CALM
"2019-525",BLACK HISPANIC,DEFENSIVE
"2019-526",BLACK,UPSET
"2019-527",BLACK,CALM
"2019-528",BLACK,"CALM, UNDERSTANDING"
"2019-529",BLACK,UNHAPPY
"2019-530",WHITE HISPANIC,INTOXICATED BY DRUGS AND ALCOHOL
"2019-531",BLACK HISPANIC,INTOXICATED BY ALCOHOL AND ACTING IN A TUMULTOUS MANNER
"2019-532",BLACK,CALM
"2019-533",BLACK,CALM
"2019-534",WHITE HISPANIC,CALM
"2019-535",BLACK,AGGITATED
"2019-536",WHITE HISPANIC,COUFESED
"2019-537",WHITE HISPANIC,CONFUSED
"2019-538",WHITE HISPANIC,CONFUSED
"2019-539",WHITE HISPANIC,CONFUSED
"2019-540",BLACK HISPANIC,SEMI COMPLIANT / HESITANT
"2019-541",WHITE HISPANIC,CALM/COOPERATIVE
"2019-542",WHITE,CALM
"2019-543",BLACK HISPANIC,CALM
"2019-545",BLACK,NERVOUS
"2019-546",BLACK,VERY COMBATIVE AND UNCOOPERATIVE
"2019-547",WHITE HISPANIC,UPSET
"2019-548",WHITE HISPANIC,CALM
"2019-549",WHITE HISPANIC,COOPERATIVE AND CALM
"2019-550",BLACK,CALM
"2019-552",WHITE HISPANIC,NORMAL
"2019-553",WHITE HISPANIC,DISORIENTED
"2019-554",WHITE,NORMAL
"2019-556",WHITE HISPANIC,AGITATED
"2019-557",BLACK,COMPLIANT / PROFUSE SWEATING
"2019-558",WHITE HISPANIC,CALM
"2019-559",WHITE HISPANIC,"FIDGETY, NERVOUS"
"2019-560",BLACK,IRRITATED
"2019-561",WHITE HISPANIC,APPARENTLY NORMAL
"2019-562",BLACK HISPANIC,CALM
"2019-563","",BELLIGERENT AND VIOLENT
"2019-564",WHITE,CALM
"2019-565",BLACK,CALM
"2019-567",WHITE,NERVOUS
"2019-569",BLACK HISPANIC,NORMAL
"2019-570",WHITE,CALM
"2019-571",BLACK,CALM
"2019-572",BLACK,NERVOUS
"2019-573",BLACK HISPANIC,NERVOUS
"2019-574",BLACK,CALM
"2019-575",BLACK,CALM
"2019-576",BLACK HISPANIC,CALM
"2019-578",WHITE HISPANIC,APP NORMAL
"2019-579",BLACK,COOPERATIVE
"2019-580",BLACK,AGGRAVATED
"2019-581",WHITE,AGITATED
"2019-582",WHITE,NERVOUS
"2019-583",BLACK,NERVOUS
"2019-584",WHITE HISPANIC,NERVOUS / COMPLIANT
"2019-585",ASIAN / PACIFIC ISLANDER,NERVOUS
"2019-586",WHITE,COPPERATIVE
"2019-587",WHITE,CALM
"2019-588",WHITE HISPANIC,"CALM, APPRECIATIVE,"
"2019-589",BLACK HISPANIC,ANNOYED
"2019-590",WHITE HISPANIC,"NERVOUS, SWEATY"
"2019-591",BLACK HISPANIC,UPSET
"2019-592",WHITE HISPANIC,CALM
"2019-593",BLACK,NERVOUS
"2019-594",BLACK,CALM
"2019-595",WHITE,N/A
"2019-596",BLACK,RELAXED
"2019-597",WHITE,COMPLIANT
"2019-598",WHITE HISPANIC,AGITATED
"2019-599",WHITE HISPANIC,CALM
"2019-600",BLACK,CALM
"2019-601",BLACK,COMPLIANT
"2019-602",WHITE HISPANIC,NORMAL
"2019-603",BLACK,COOPERATIVE
"2019-604",WHITE HISPANIC,COMPLIANT
"2019-605",BLACK HISPANIC,COOPERATIVE
"2019-606",WHITE HISPANIC,COMPLIANT
"2019-607",WHITE HISPANIC,COMPLIANT
"2019-608",WHITE HISPANIC,COMPLIANT
"2019-609",BLACK,"GAVE UP AFTER RUNNING, COMPLIANT AFTERWARDS."
"2019-611",BLACK,EUPHORIC
"2019-612",WHITE,ERRATIC
"2019-613",WHITE HISPANIC,CALM
"2019-614",BLACK HISPANIC,ANNOYED
"2019-615",BLACK,CALM
"2019-616",BLACK,CALM
"2019-618",BLACK,CALM
"2019-619",BLACK,UPSET
"2019-620",WHITE HISPANIC,AGGITATED
"2019-622",BLACK,CALM
"2019-623",WHITE HISPANIC,COMPLIANT
"2019-624",BLACK,"COMPLIANT, STARTLED"
"2019-625",WHITE HISPANIC,COMPLIANT
"2019-626",BLACK,"COMPLIANT, QUIET"
"2019-627",BLACK,UPSET
"2019-629",WHITE HISPANIC,CALM
"2019-630",BLACK,CALM
"2019-631",BLACK,RUNNING
"2019-632",WHITE HISPANIC,FLEEING LOCATION
"2019-633",BLACK HISPANIC,SHOCK
"2019-634",BLACK,COMPLIANT
"2019-636",BLACK,CALM
"2019-638",WHITE HISPANIC,UNDERSTANDING
"2019-639",BLACK HISPANIC,NERVOUS
"2019-640",WHITE,NERVOUS/SWEATING
"2019-641",BLACK,COOPERATIVE
"2019-642",WHITE,UPSET
"2019-643",BLACK HISPANIC,SHOCKED
"2019-644",BLACK,CALM
"2019-645",BLACK,CALM
"2019-646",WHITE HISPANIC,CALM
"2019-647",BLACK,"NERVOUS, UNCOOPERATIVE"
"2019-648",WHITE HISPANIC,UPSET
"2019-649",BLACK HISPANIC,NERVOUS
"2019-650",WHITE HISPANIC,PASSIVE
"2019-651",WHITE HISPANIC,PASSIVE
"2019-652",WHITE,NORMAL
"2019-653",WHITE HISPANIC,CALM
"2019-654",BLACK,IRATE
"2019-655",BLACK,CALM
"2019-656",BLACK,CALM
"2019-657",BLACK,CALM
"2019-658",BLACK,CALM
"2019-659",BLACK,CALM
"2019-660",BLACK,IRRATE
"2019-661",WHITE,UPSET
"2019-662",BLACK,CALM
"2019-663",BLACK,COMPLIANT
"2019-664",WHITE,IRATE
"2019-665",WHITE,IRATE
"2019-666",BLACK,CALM
"2019-667",WHITE HISPANIC,COOPERATIVE
"2019-668",WHITE HISPANIC,CONFUSED
"2019-669",WHITE HISPANIC,NERVOUS
"2019-670",WHITE HISPANIC,CALM
"2019-671",WHITE,CALM
"2019-672",WHITE,CALM
"2019-673",WHITE HISPANIC,NORMAL
"2019-674",WHITE HISPANIC,NORMAL
"2019-675",WHITE,CALM
"2019-676",WHITE HISPANIC,UPSET
"2019-677",BLACK,"SLOW WITH HIS SPEECH, POSSIBLY INTOX"
"2019-678",BLACK,DEFEATED
"2019-679",BLACK,SCARED NERVOUS RUNNING
"2019-680",BLACK,NERVOUS
"2019-681",WHITE HISPANIC,ANNOYED AGITATED
"2019-682",WHITE HISPANIC,NERVOUS
"2019-683",BLACK,CALM
"2019-684",WHITE HISPANIC,COOPERATIVE
