,white_count,black_count,white_hispanic_count,black_hispanic_count,asian_pacific_count,native_alaskan_count
APPRECIATIVE,,4.0,5.0,,,
UK,,4.0,1.0,1.0,,
WALKING,,3.0,3.0,,,
FLUSTERED,,3.0,,,,
SEEMED,,3.0,1.0,1.0,,
C,,3.0,1.0,,,
ANGER,,3.0,1.0,,,
NONCOMPLIANCE,,3.0,,,,
STARTLED,,3.0,2.0,1.0,,
ARREST,,3.0,,1.0,,
HESITANT,,3.0,2.0,1.0,,
PHYSICALLY,,3.0,,,,
DUE,,3.0,1.0,,,
COMPLIED,,3.0,2.0,1.0,,
SMILING,,3.0,,,,
ARROGANT,,3.0,1.0,1.0,,
SOMEWHAT,,3.0,1.0,,,
CASUAL,,3.0,1.0,,,
CALMED,,3.0,3.0,,,
SATISFIED,,3.0,1.0,,,
PROVIDE,,3.0,,1.0,,
AMICABLE,,3.0,,,,
RESPONSES,,3.0,,,,
VISIBLY,,3.0,1.0,,,
STAND,,3.0,,,,
APPARENT,,3.0,,1.0,,
DISTRAUGHT,,3.0,,,,
DRUNK,,3.0,4.0,,,
FIDGETING,,3.0,,,,
ISSUES,,3.0,,,,
NON-COMBATIVE,,3.0,,,,
UNEASY,,3.0,,1.0,,
TRIED,,3.0,,,,
LIKE,,3.0,,,,
BOTHERED,,3.0,1.0,1.0,,
ANIMATED,,3.0,,,,
SAD,,3.0,3.0,2.0,1.0,
ORDERS,,3.0,1.0,,,
OKAY,,3.0,1.0,,,
WALKED,,2.0,,,,
EMOTIONAL,,2.0,,1.0,,
EXHAUSTED,,2.0,2.0,1.0,,
ANYTHING,,2.0,1.0,,,
LANGUAGE,,2.0,,1.0,,
UNABLE,,2.0,,,,
VAGUE,,2.0,,,,
FATIGUED,,2.0,,,,
ARMS,,2.0,1.0,,,
FEMALE,,2.0,1.0,,,
FOLLOWING,,2.0,1.0,,,
DIRECTIONS,,2.0,,,,
OBSCENE,,2.0,,,,
RESPONDING,,2.0,,,,
RUDE,,2.0,1.0,,,
SLEEPY,,2.0,1.0,,,
HEART,,2.0,,,,
MALE,,2.0,4.0,,,
STANDING,,2.0,,,,
NONCHALANT,,2.0,,2.0,,
EYE,,2.0,1.0,,,
CONTACT,,2.0,1.0,,,
STORE,,2.0,,,,
MUMBLING,,2.0,,,,
SPEAKING,,2.0,,1.0,,
BEATING,,2.0,,,,
ANTS,,2.0,,,,
CHEST,,2.0,,,,
NERVOUSNESS,,2.0,,,,
COMMANDS,,2.0,1.0,,,
ASKED,,2.0,3.0,1.0,,
RESTLESS,,2.0,1.0,,,
SCREAMING,,2.0,1.0,,,
CHALLENGING,,2.0,,,,
PEDIGREE,,2.0,,,,
TRAFFIC,,2.0,,,,
TUMULTUOUS,,2.0,1.0,2.0,,
JOYFUL,,2.0,,,,
RECORDING,,2.0,,1.0,,
SAW,,2.0,,,,
INFORMED,,2.0,,,,
VOCAL,,2.0,,,,
PRIOR,,2.0,2.0,8.0,,
SORRY,,2.0,1.0,,,
HURRY,,2.0,,,,
INCOHERENT,,2.0,1.0,,,
RAMBLING,,2.0,1.0,,,
SAID,,2.0,1.0,,,
DEFENDANT,,2.0,,,,
ACCUSATORY,,2.0,,,,
REASONING,,2.0,,,,
UPON,,2.0,1.0,,,
IRRITATE,,2.0,1.0,,,
QUESTIONABLE,,2.0,,,,
EYES,,2.0,,1.0,,
USING,,2.0,,,,
TOWARDS,,2.0,,,1.0,
RESERVED,,2.0,,,,
COOPERATIVES,,2.0,,,,
CRIME,,2.0,,,,
BEGAN,,2.0,2.0,,,
RESISTED,,2.0,,1.0,,
FAIL,,2.0,,,,
CURIOUS,,2.0,1.0,,,
LAWFUL,,2.0,,,,
ORDER,,2.0,,,,
QUESTIONING,,2.0,,2.0,,
ADMITTED,,2.0,,,,
POSSIBLY,,2.0,3.0,,,
EXPLANATION,,2.0,1.0,,,
CONFIDENT,,2.0,,,,
BLAZING,,2.0,1.0,,,
GIVEN,,2.0,,,,
AGREEABLE,,2.0,,,,
FOLLOW,,2.0,,,,
PHYSICAL,,2.0,,,,
COMPETITIVE,,2.0,,,,
CO,,2.0,,,,
ATTITUDE,,2.0,,,,
OPERATIVE,,2.0,,,,
V,,2.0,1.0,,,
COOPERATED,,2.0,,,,
POINTED,,2.0,,,,
FIRST,,2.0,1.0,2.0,,
MANNER,,2.0,,1.0,,
INVESTIGATION,,2.0,,,,
ARRESTED,,2.0,,,,
TRAIN,,2.0,,,,
RELEASED,,1.0,,,,
SEMI-COMPLIANT,,1.0,,,,
SHAKEN,,1.0,,,,
RESPECTED,,1.0,,,,
SHIFTY,,1.0,,,,
SHOCK,,1.0,,1.0,1.0,
NON-COOPERATIVE,,1.0,1.0,,,
SHOCKING,,1.0,,,,
ACTIVATED,,1.0,,,,
RECEPTIVE,,1.0,1.0,,,
REQUEST,,1.0,,,,
RELUCTANT,,1.0,,,,
SCARRED,,1.0,,,,
REPEATEDLY,,1.0,,,,
POTENTIAL,,1.0,,,,
VOLATILE,,1.0,1.0,,,
THING,,1.0,,,,
ERRATICALLY,,1.0,,,,
PULLED,,1.0,,1.0,,
CLOT,,1.0,,,,
AUNT,,1.0,,,,
SARCASTIC,,1.0,,,,
UNREASONABLE,,1.0,,,,
ID,,1.0,1.0,,,
HANDCUFFED,,1.0,1.0,,,
BELIGERANTE,,1.0,,,,
BILIGERANT,,1.0,,,,
DELAYING,,1.0,,,,
DISMISSIVE,,1.0,2.0,,,
NON-HOSTILE,,1.0,,,,
STORMED,,1.0,,,,
HS,,1.0,,,,
ANTAGONISTIC,,1.0,,,,
GET,,1.0,1.0,,,
NON-COMPLAINT,,1.0,2.0,,,
NEXT,,1.0,,,,
NORTHBOUND,,1.0,,,,
ISSUE,,1.0,,,,
ARGUEMENTIVE,,1.0,,,,
LOOKED,,1.0,,,,
NERVOUSAND,,1.0,,,,
LETHARGIC,,1.0,,,,
CHATTY,,1.0,,,,
DIRECTION,,1.0,1.0,,,
CHANGE,,1.0,,,,
TROUBLE,,1.0,,,,
INTERACTIONS,,1.0,,,,
AVOIDING,,1.0,1.0,,,
CURSING,,1.0,1.0,1.0,,
REGARDS,,1.0,,,,
OBEYING,,1.0,,,,
PARTY,,1.0,,,,
SH,,1.0,,,,
QUESTIONED,,1.0,,,,
PROFESSIONAL,,1.0,,,,
WILLING,,1.0,1.0,,,
SILENT,,1.0,1.0,1.0,1.0,
PISSED,,1.0,,,,
CIRCUMSTANCES,,1.0,,,,
EXPLAIN,,1.0,,,,
CORRECTLY,,1.0,,,,
ACTED,,1.0,1.0,,,
PATIENT,,1.0,1.0,,,
BILLERGENT,,1.0,,,,
PANICKED,,1.0,,,,
PANIC,,1.0,,,,
ORDERLY,,1.0,,,,
OPPOSITIONAL,,1.0,,,,
LET,,1.0,,,,
DETECTIVE,,1.0,,,,
SLEEPING,,1.0,,,,
LITTLE,,1.0,4.0,1.0,,
WIFE,,1.0,,,,
GUN,,1.0,,,,
CALLED,,1.0,,,,
FRIEND,,1.0,,,,
AGGITATIVE,,1.0,,,,
REFUND,,1.0,,,,
GETTING,,1.0,1.0,,,
SET,,1.0,,,,
ABRASIVE,,1.0,1.0,,,
SINCE,,1.0,,,,
UNINTERESTED,,1.0,,,,
ACCELERATED,,1.0,,,,
DISTRESSED,,1.0,1.0,,,
UNEASE,,1.0,,,,
EMPLOYEE,,1.0,,,,
DISPUTE,,1.0,1.0,,,
KNEW,,1.0,,,,
GRACIOUS,,1.0,,,,
MISSING,,1.0,,,,
GO,,1.0,1.0,,,
SLOW,,1.0,,1.0,,
BULGING,,1.0,,,,
RMP,,1.0,,,,
COMPLETE,,1.0,,,,
VISIBLE,,1.0,,,,
VIOLENTLY,,1.0,,,,
MOVEMENT,,1.0,,,,
CONSTANT,,1.0,,,,
END,,1.0,1.0,,,
HOME,,1.0,,,,
LOCKOUT,,1.0,,,,
EXP,,1.0,,,,
HARM,,1.0,,,,
GENTLEMAN,,1.0,,,,
UPSET-INTOX,,1.0,,,,
BOISTEROUS,,1.0,,,,
CAREFREE,,1.0,,,,
COURTEOUS,,1.0,1.0,,,
HAPPENED,,1.0,,,,
UNDERSTAND,,1.0,,,,
UNCP,,1.0,,,,
STRUGGLE,,1.0,,,,
SELF,,1.0,,,,
SHORTNESS,,1.0,,2.0,,
RAPID,,1.0,,,,
ACTIVITY,,1.0,,,,
PHONE,,1.0,,,,
JOVIAL,,1.0,,,,
BRIEF,,1.0,,,,
PULLING,,1.0,,,,
IDE,,1.0,,,,
OFFERED,,1.0,1.0,,,
FAST,,1.0,1.0,,,
DISORDER,,1.0,,,,
AGREED,,1.0,,,,
SUB,,1.0,,,,
STANCE,,1.0,,,,
TENSED,,1.0,,,,
ACTIVELY,,1.0,,,,
THANKED,,1.0,,,,
WENT,,1.0,,,,
WAY,,1.0,,,,
AFFECTIVE,,1.0,,,,
KNOW,,1.0,,,,
UNCONTROLLABLE,,1.0,,,,
UNCONSCIOUS,,1.0,,,,
UNCARING,,1.0,,,,
UNBOTHERED,,1.0,,,,
UNAWARE,,1.0,1.0,,,
TURNED,,1.0,,,,
TRYING,,1.0,1.0,1.0,,
CARE,,1.0,,,,
TRUTHFUL,,1.0,,,,
FLIGHT,,1.0,,1.0,,
TOOK,,1.0,,,,
TIMID,,1.0,,,,
THROWING,,1.0,,,,
INDIVIDUAL,,1.0,1.0,1.0,,
HAPPENING,,1.0,,,,
NERVOUS-TALKATIVE-FIDGETY,,1.0,,,,
GRAY,,1.0,,,,
SEATING,,1.0,,,,
HIDING,,1.0,1.0,,,
REASONABLE,,1.0,,,,
HASTY,,1.0,,,,
CHECKED,,1.0,,,,
WELL,,1.0,,,,
COCKY,,1.0,1.0,,,
COMPARATIVE,,1.0,,1.0,,
SMIRKING,,1.0,,,,
GIGGLING,,1.0,,,,
GENERALLY,,1.0,,,,
AFTERWARDS,,1.0,,,,
GAVE,,1.0,,,,
COMPLACENT,,1.0,,,,
PROFUSE,,1.0,,,,
COMPULSIVE,,1.0,,,,
FLARING,,1.0,,,,
SUN,,1.0,,,,
STOPPING,,1.0,,,,
HIGH,,1.0,1.0,1.0,,
FOO,,1.0,,,,
VEHICLE,,1.0,2.0,,,
SEARCHING,,1.0,,,,
INITIAL,,1.0,,,,
PERSISTENT,,1.0,,,,
INDIGNANT,,1.0,,,,
BECAME,,1.0,2.0,,,
HOLDING,,1.0,,,,
PLASTIC,,1.0,,,,
CUP,,1.0,,,,
NON-COMPLAINANT,,1.0,,,,
IM,,1.0,,,,
ABUSIVE,,1.0,,3.0,,
UNCORRPTIVE,,1.0,,,,
CONSENTING,,1.0,,,,
EATING,,1.0,,,,
TWISTING,,1.0,,,,
DUMBFOUNDED,,1.0,,,,
FLAILING,,1.0,1.0,,,
SEMI,,1.0,,1.0,,
DUSTY,,1.0,,,,
CV,,1.0,,,,
BELIGERAND,,1.0,,,,
ASSAULT,,1.0,,,,
DOCILE,,1.0,,,,
DISAPPOINTED,,1.0,,,,
LM,,1.0,,,,
DECEITFUL,,1.0,1.0,,,
DISOBEDIENT,,1.0,,,,
STRAIGHT,,1.0,,,,
PACING,,1.0,1.0,1.0,,
CLOTHING,,1.0,,,,
DIS-SHEVELED,,1.0,,,,
FORTH,,1.0,,1.0,,
SAY,,1.0,,,,
DIRTY,,1.0,,,,
PANTS,,1.0,,,,
EAGER,,1.0,,,,
INTONED,,1.0,,1.0,,
FIGHTING,,1.0,,,1.0,
COMMITTED,,1.0,,,,
PSYCHOLOGICAL,,1.0,,,,
FATIGUE,,1.0,,,,
DISTRESS,,1.0,,,,
LYING,,1.0,,,,
EXISTED,,1.0,,,,
ACTIONS,,1.0,,,,
CONTENT,,1.0,4.0,2.0,1.0,
VOICE,,1.0,,1.0,,
CONTENTIOUS,,1.0,,,,
ATTENTIVE,,1.0,,,,
EUPHORIC,,1.0,,,,
RESPONSIVE,,1.0,,,,
CORPORATE,,1.0,1.0,,,
FOLLOWED,,1.0,,,,
REMOVED,,1.0,,,,
MOVE,,1.0,,,,
EARTHING,,1.0,,,,
UNCOMFORTABLE,,1.0,,,,
SMELL,,1.0,,,,
BECOME,,1.0,,,,
DISOBEYING,,1.0,,,,
STAY,,1.0,,,,
SIDE,,1.0,,,,
RESTRAINED,,1.0,,,,
NERVES,,1.0,,,,
INCOHERENTLY,,1.0,,,,
PUSHING,,1.0,,,,
ETC,,1.0,,,,
CONCEALED,,1.0,,,,
ITEMS,,1.0,,,,
AGGRESSIVELY,,1.0,,,,
SHOUTING,,1.0,,,,
LOOKING,,1.0,3.0,,,
MENTALLY,,1.0,,,,
UNSURE,,1.0,,,,
PROCESS,,1.0,,,,
HOSPITAL,,1.0,,,,
ROLLING,,1.0,,,,
REFUSING,,1.0,1.0,,,
ARRGESIVE,,1.0,,,,
REMARKS,,1.0,,,,
QUESTION,,1.0,,1.0,,
RESPONSE,,1.0,,,,
QUESTIONS,,1.0,1.0,,,
ATTEMPT,,1.0,,,,
ANSWERS,,1.0,,,,
OBSTRUCT,,1.0,,,,
INCONSOLABLE,,1.0,,,,
STILL,,1.0,,,,
COULDNT,,1.0,,,,
CONDUCTING,,1.0,,,,
SMELLED,,1.0,,,,
CLEAR,,1.0,,,,
CENTRAL,,1.0,,,,
DESCRIPTION,,1.0,,,,
DETAIL,,1.0,,,,
EXPLAINING,,1.0,,,,
PO,,1.0,,,,
ENTIRE,,1.0,,,,
IRRITABLE,,1.0,,,,
CREATED,,1.0,1.0,,,
FUGITIVE,,1.0,,,,
DEMONSTRATIVE,,1.0,,,,
PROFANITY,,1.0,,,,
OFFIAH,,1.0,,,,
UNPLEASANT,,1.0,,,,
LONGER,,1.0,,,,
INCREASINGLY,,1.0,,,,
INCREDULOUS,,1.0,,,,
TALK,,1.0,,,,
DIFFICULT,,1.0,,,,
TOXIC,,1.0,,,,
INTOX-ALCOHOL,,1.0,,,,
JOKING,,1.0,,,,
SITUATION,,1.0,1.0,,,
KEPT,,1.0,,,,
FLEMING,,1.0,,,,
AGENT,,1.0,,,,
TICKET,,1.0,,,,
INCIDENT,,1.0,,,,
CAL,,1.0,,,1.0,
LEFT,,1.0,,,,
MACHIAVELLIAN,,1.0,,,,
MEEKS,,1.0,,,,
OBNOXIOUS,,1.0,,,,
LOITERING,,1.0,,,,
AGE,,1.0,,,,
LIED,,1.0,,,,
BUILDING,,1.0,,,,
HELPFUL,,,5.0,,,
WORKED,,,4.0,,,
-,,,3.0,,,
IMPATIENT,,,3.0,3.0,,
POCKETS,,,2.0,,,
PUTTING,,,2.0,,,
INTERACTION,,,2.0,,,
DECEPTIVE,,,2.0,,,
INDIFFERENCE,,,2.0,,,
RAN,,,2.0,,,
AGITATE,,,1.0,,,
OPEN,,,1.0,1.0,,
NEED,,,1.0,,,
PER,,,1.0,,,
PLACING,,,1.0,,,
PANT,,,1.0,,,
POCKET,,,1.0,,,
STRESSED,,,1.0,,,
NERVOUS-AGGITATED,,,1.0,,,
CLOSET,,,1.0,,,
ENTERING,,,1.0,,,
EXITING,,,1.0,,,
PICKING,,,1.0,,,
BAG,,,1.0,,,
INFORMATION,,,1.0,,,
APARTMENT,,,1.0,,,
INFLUENCE,,,1.0,1.0,,
GIRLFRIEND,,,1.0,,,
OFFENSIVE,,,1.0,,,
WINDEDCONFUSED,,,1.0,,,
WITHOUT,,,1.0,,,
SCARE,,,1.0,,,
FINGERING,,,1.0,,,
TALKED,,,1.0,,,
SEVERELY,,,1.0,,,
VOLUNTARILY,,,1.0,,,
SOON,,,1.0,,,
EXITED,,,1.0,,,
INCREASED,,,1.0,,,
HEARTBEAT,,,1.0,,,
BEGINNING,,,1.0,,,
WAISTLINE,,,1.0,,,
COMPLAINED,,,1.0,,,
CONFLICTING,,,1.0,,,
STORIES,,,1.0,,,
DISGRUNTLED,,,1.0,,,
FAIR,,,1.0,,,
FRAZZLED,,,1.0,,,
BABBLING,,,1.0,,,
WRONG,,,1.0,,,
IMPLYING,,,1.0,,,
CIVIL,,,1.0,,,
RESPECTABLE,,,1.0,,,
FORTHCOMING,,,1.0,,,
AWAITED,,,1.0,,,
COMMUNICATIVE,,,1.0,1.0,,
THANK,,,1.0,,,
FULL,,,1.0,,,
SHOWING,,,1.0,,,
EXCESSIVELY,,,1.0,,,
MAKING,,,1.0,,,
MILD,,,1.0,,,
CONSTANTLY,,,1.0,,,
SHOULDER,,,1.0,,,
LOT,,,1.0,,,
CONTINUALLY,,,1.0,,,
HEAD,,,1.0,,,
DRAWN,,,1.0,,,
DOWNWARD,,,1.0,,,
GROUND,,,1.0,,,
REACHING,,,1.0,,,
CONCEALING,,,1.0,,,
JAIL,,,1.0,,,
RETURNED,,,1.0,,,
PROPERTY,,,1.0,,,
STONED,,,1.0,,,
NARCOTICS,,,1.0,,,
WORK,,,1.0,,,
PROGRESSIVELY,,,1.0,,,
DRUGS,,,1.0,1.0,,
INGESTED,,,1.0,,,
STOLEN,,,1.0,,,
INJURIES,,,,2.0,,
NOTHING,,,,1.0,,
PARANOID,,,,1.0,,
REPORT,,,,1.0,,
WIDE,,,,1.0,,
VOLUNTARY,,,,1.0,,
ASSAULTED,,,,1.0,,
UNFRIENDLY,,,,1.0,,
EVERYTHING,,,,1.0,,
REASONS,,,,1.0,,
NON-VERBAL,,,,1.0,,
RAPPING,,,,1.0,,
COMPLAINING,,,,1.0,,
ACT,,,,1.0,,
COMMAND,,,,1.0,,
HOWEVER,,,,1.0,,
STRESS,,,,1.0,,
USE,,,,1.0,,
FOUL,,,,1.0,,
AWARE,,,,1.0,,
ASKING,,,,1.0,,
ANN,,,,1.0,,
YES,,,,1.0,,
APATHETIC,,,,1.0,,
LOOK,,,,1.0,,
SUICIDAL,,,,1.0,,
MODE,,,,1.0,,
PERSONAL,,,,1.0,,
INFO,,,,1.0,,
DELIBERATELY,,,,1.0,,
ACCOMMODATING,,,,,1.0,
